26.01.2024,,Housing and Communal Services,"34,00",.01.24
26.01.2024,ящик на стол,Everything for Home,"19,90",.01.24
28.01.2024,ковш для каши и крышка,Everything for Home,"111,30",.01.24
01.02.2024,,Housing and Communal Services,"2,50",.02.24
01.02.2024,,Housing and Communal Services,"34,87",.02.24
03.02.2024,,Housing and Communal Services,"8,01",.02.24
05.02.2024,магти,Housing and Communal Services,50,.02.24
15.02.2024,Газ,Housing and Communal Services,108,.02.24
21.02.2024,Магти ,Housing and Communal Services,50,.02.24
26.02.2024,лифт,Housing and Communal Services,34,.02.24
01.03.2024,,Housing and Communal Services,3,.03.24
01.03.2024,,Housing and Communal Services,32,.03.24
01.03.2024,,Housing and Communal Services,6,.03.24
03.03.2024,Секатор,Everything for Home,24,.03.24
06.03.2024,Magti ,Housing and Communal Services,50,.03.24
18.03.2024,gas,Housing and Communal Services,87,.03.24
19.03.2024,magti ,Housing and Communal Services,50,.03.24
26.03.2024,lift,Housing and Communal Services,34,.03.24
26.03.2024,Свечи,Everything for Home,80,.03.24
31.03.2024,Наволочки ,Everything for Home,24,.03.24
31.03.2024,,Everything for Home,20,.03.24
03.04.2024,,Housing and Communal Services,43,.04.24
03.04.2024,supta sahli,Everything for Home,38,.04.24
04.04.2024,magti,Housing and Communal Services,50,.04.24
05.04.2024,ЭКО штуки для дома ,Everything for Home,189,.04.24
06.04.2024,,Everything for Home,40,.04.24
12.04.2024,,Everything for Home,9,.04.24
18.04.2024,gas,Housing and Communal Services,79,.04.24